tag,count,rot,last_det,last,type,size,headwidth,radius,death,age
52,1848,90,11960,0,N,278.598,67.2309,120.83,0,0
65,3370,-104,12139,0,N,270.88,77.666,122.723,0,0
244,3741,176,12071,0,N,257.381,78.924,0,0,0
397,4508,-90,12115,0,N,285.708,73.1642,133.195,0,0
540,3301,180,11754,0,N,280.863,70.7107,100.722,0,0
929,4040,75,11935,0,N,262.739,68.1542,119.942,0,0
2,3729,90,12055,0,N,262.665,67.2681,0,0,0
6,7772,-98,12139,0,N,232.433,71.0282,128.316,0,0
7,1858,-90,11938,0,N,260.722,65.4599,118.229,0,0
15,2315,-76,12121,0,N,288.467,73.0616,93.9202,0,0
24,4707,-180,12139,0,N,258.898,76.6877,0,0,0
25,7838,-88,12110,0,N,260.893,77.666,151.268,0,0
26,18,0,11248,0,N,281.661,78.2943,127.138,0,0
30,1,0,0,0,N,0,0,0,0,0
64,3711,90,12139,0,N,267.84,77.3886,105.209,0,0
72,2608,90,12138,0,N,263.211,69.3181,67.5426,0,0
102,3952,90,11739,0,N,274.274,65.7647,0,0,0
196,2985,0,11971,0,N,252.958,68.1836,0,0,0
202,2684,-90,11377,0,N,252.179,74.0608,0,0,0
209,1126,-180,11959,0,N,271.415,70.7107,115.767,0,0
237,6590,-90,12139,0,N,258.683,74.0405,91.9837,0,0
245,6768,0,12139,0,N,269.468,76.922,83.2586,0,0
278,3057,-90,11929,0,N,253.852,73.0821,104.48,0,0
329,2203,0,5597,0,N,272.092,71.0634,135.857,0,0
518,2785,-90,11880,0,N,280.589,74.8465,0,0,0
534,2535,180,12138,0,N,281.155,70.3847,94.4299,0,0
604,4574,12,12139,0,N,262.231,75.5844,0,0,0
646,3786,-90,12138,0,N,282.454,75.7166,0,0,0
740,6060,90,12121,0,N,284.682,72.1803,0,0,0
954,1068,80,11878,0,N,270.276,77.6209,109.59,0,0
0,1209,0,11993,0,N,275.545,75.8024,82.2253,0,0
12,811,-90,12128,0,N,246.295,75.1798,0,0,0
13,4044,-180,12139,0,N,282.705,73.3894,0,0,0
17,3022,90,11932,0,N,283.387,72.9932,0,0,0
29,2747,90,12109,0,N,254.566,76.6551,116.726,0,0
35,894,0,11877,0,N,266.895,65,109.343,0,0
40,3731,171,5955,0,N,262.865,83.4506,0,0,0
42,4421,-180,11924,0,N,227.702,59.4138,0,0,0
43,6730,0,12139,0,N,244.074,67.7422,117.098,0,0
49,1686,0,12125,0,N,270.601,69.0072,122.589,0,0
54,6698,-155,12139,0,N,237.929,56.7274,0,0,0
55,1,0,0,0,N,0,0,0,0,0
62,4164,-180,12109,0,N,275.975,66.0303,0,0,0
63,5587,0,12063,0,N,247.111,83.672,0,0,0
68,3765,172,11873,0,N,272.118,76.3217,0,0,0
81,3908,-90,11468,0,N,265,69.029,119.004,0,0
85,19,0,2035,0,N,271.562,78.492,0,0,0
91,2547,-117,12028,0,N,260.271,69.0072,117.393,0,0
97,5778,0,12139,0,N,275.313,76.243,93.9628,0,0
98,4983,72,12077,0,N,257.158,71.1969,0,0,0
100,2543,78,12108,0,N,295.434,68.0294,133.034,0,0
105,1632,-90,12139,0,N,252.335,73.0068,0,0,0
112,3616,69,12000,0,N,281.093,76.8505,127.577,0,0
135,2481,-180,12138,0,N,284.675,73.5459,0,0,0
139,1845,-180,11958,0,N,266.188,61.6117,0,0,0
140,5550,-103,12139,0,N,255.378,68.7968,115.767,0,0
144,925,90,11926,0,N,263.059,71.3092,104.216,0,0
153,3898,-180,12139,0,N,271.347,70.5195,0,0,0
156,1956,-23,12139,0,N,254.772,73.0068,0,0,0
172,2741,-180,12028,0,N,261.843,73.7902,103.238,0,0
173,2965,-90,10063,0,N,273.207,82.4197,103.31,0,0
175,4681,-180,12139,0,N,261.939,72.45,121.235,0,0
194,5665,90,12139,0,N,275.937,76.6616,0,0,0
195,4622,-19,11914,0,N,290.126,71.8053,104.043,0,0
207,3160,90,11240,0,N,265.187,81.3941,0,0,0
215,3589,-75,10879,0,N,280.829,68.3593,114.039,0,0
219,4549,-93,11795,0,N,273.47,69.6419,0,0,0
221,2710,90,11425,0,N,279.258,71.5891,91.2195,0,0
229,5131,144,12139,0,N,273.995,74.1485,89.0505,0,0
243,1066,90,11198,0,N,269.431,61.7738,0,0,0
250,6673,0,12139,0,N,249.064,84.5813,0,0,0
255,4397,153,12139,0,N,273.49,74.2496,83.5284,0,0
261,3449,90,11955,0,N,258.01,75.8024,0,0,0
263,5423,-98,12139,0,N,256.462,73.7631,105.688,0,0
264,5990,-90,9869,0,N,267.277,69.6348,134.737,0,0
294,980,-95,10709,0,N,280.173,71.1196,0,0,0
298,2,0,12098,0,N,0,0,0,0,0
299,3996,-180,12138,0,N,263.712,75.06,83.3847,0,0
301,4265,99,12138,0,N,267.8,70.0357,0,0,0
305,7031,0,12138,0,N,291.446,74.411,101.257,0,0
318,3424,-90,12136,0,N,262.008,71.0634,77.7946,0,0
326,7915,-90,12138,0,N,283.212,74.2765,87.2009,0,0
334,1996,-90,11977,0,N,274.352,66.4831,116.103,0,0
347,4150,-180,7378,0,N,241.234,76.0066,79.2275,0,0
376,2333,-8,12136,0,N,246.333,73.6003,131.027,0,0
390,45,-90,11689,0,N,239.075,67.4759,125.575,0,0
394,1430,0,11920,0,N,267.989,79.511,114.543,0,0
395,7926,-180,12139,0,N,291.796,81.3449,118.562,0,0
398,5379,-90,12139,0,N,270.633,72.4707,0,0,0
552,4874,-99,12138,0,N,266.833,70.2353,0,0,0
575,3039,-180,12139,0,N,250.801,76,115.974,0,0
576,5415,-90,11935,0,N,258.157,72.0278,0,0,0
580,2232,-180,12138,0,N,249.098,62.3699,125,0,0
592,6158,3,11461,0,N,264.327,78.5493,0,0,0
593,3275,-90,12059,0,N,276.74,78.848,137.463,0,0
599,3523,123,12139,0,N,294.09,75.9539,0,0,0
607,1748,90,12066,0,N,293.466,75.0733,121.38,0,0
610,2523,0,11297,0,N,228.989,69.7711,0,0,0
621,3501,90,12139,0,N,258.805,63.1269,0,0,0
650,4010,90,12139,0,N,245.018,78.0256,0,0,0
663,3979,0,6842,0,N,278.404,71.3442,87.367,0,0
665,8589,-180,11996,0,N,248.815,71.8053,93.0215,0,0
